STATION_ID,TIME,WSP_OBS,HOUR_FCST,ECM_IS,HARMONIE,HIRLAM5
5544,01/09/2014 03:00,7.9,45,,9.2,12.2
5544,01/09/2014 09:00,13.8,45,9.9,13.3,13.4
5544,01/09/2014 15:00,11.1,45,,12.8,13.5
5544,01/09/2014 21:00,11.9,45,9.4,14.1,11.3
5544,02/09/2014 03:00,11.2,45,,12.9,8.9
5544,02/09/2014 09:00,6.1,45,6.2,11.7,9.1
5544,02/09/2014 15:00,7.8,45,,10.1,7.3
5544,02/09/2014 21:00,0.4,45,1.0,1.7,1.6
5544,03/09/2014 03:00,3.7,45,,10.5,9.2
5544,03/09/2014 09:00,0.7,45,5.3,13.3,9.3
5544,03/09/2014 15:00,5.3,45,,10.1,6.9
5544,03/09/2014 21:00,0.8,45,2.4,5.3,3.0
5544,04/09/2014 03:00,2.0,45,,1.6,1.0
5544,04/09/2014 09:00,2.0,45,3.7,1.3,4.8
5544,04/09/2014 15:00,6.0,45,,7.2,4.7
5544,04/09/2014 21:00,3.8,45,2.0,1.2,0.4
5544,05/09/2014 03:00,3.7,45,,2.4,0.8
5544,05/09/2014 09:00,1.7,45,0.1,1.8,1.4
5544,05/09/2014 15:00,2.9,45,,3.8,2.1
5544,05/09/2014 21:00,0.2,45,0.9,1.2,0.3
5544,06/09/2014 03:00,2.1,45,,0.3,1.8
5544,06/09/2014 09:00,1.1,45,0.4,0.0,0.5
5544,06/09/2014 15:00,2.5,45,,2.0,1.4
5544,06/09/2014 21:00,3.1,45,0.4,1.1,0.3
5544,07/09/2014 03:00,2.7,45,,1.0,0.8
5544,07/09/2014 09:00,0.9,45,0.4,0.7,0.3
5544,07/09/2014 15:00,4.2,45,,1.6,1.6
5544,07/09/2014 21:00,1.1,45,2.7,4.9,0.9
5544,08/09/2014 03:00,2.2,45,,1.9,0.3
5544,08/09/2014 09:00,1.4,45,1.1,1.9,2.8
5544,08/09/2014 15:00,5.7,45,,3.4,1.8
5544,08/09/2014 21:00,4.4,45,4.4,6.8,3.3
5544,09/09/2014 03:00,6.0,45,,7.2,5.9
5544,09/09/2014 09:00,4.6,45,4.0,3.0,2.2
5544,09/09/2014 15:00,8.1,45,,9.7,10.3
5544,09/09/2014 21:00,10.1,45,5.9,11.3,9.8
5544,10/09/2014 03:00,2.8,45,,6.0,3.2
5544,10/09/2014 09:00,4.8,45,0.9,1.7,1.5
